,DestRaw,Dest,geocoder_results,latlong
469,WILLIAMSPORT-PA,"WILLIAMSPORT, PA","<[OK] Google - Geocode [Williamsport, PA, USA]>","[41.2411897, -77.00107860000001]"
470,ASTORIA,ASTORIA,"<[OK] Google - Geocode [Astoria, OR 97103, USA]>","[46.1878841, -123.8312534]"
471,ASTOTIA-RI,"ASTOTIA, RI",,
472,ONTARIO-CANADA,"ONTARIO, CANADA","<[OK] Google - Geocode [Ontario, Canada]>","[51.253775, -85.323214]"
473,MARYLND,MARYLND,"<[OK] Google - Geocode [Maryland, USA]>","[39.0457549, -76.64127119999999]"
474,GALVESTON-MA,"GALVESTON, MA","<[OK] Google - Geocode [2121 Market St Suite 201, Galveston, TX 77550, USA]>","[29.3055853, -94.7921799]"
475,ELISABETH-NY,"ELISABETH, NY","<[OK] Google - Geocode [644 10th Ave, New York, NY 10036, USA]>","[40.7617793, -73.9936081]"
476,ORANGE,ORANGE,,
477,GREENSBURG,GREENSBURG,"<[OK] Google - Geocode [Greensburg, PA 15601, USA]>","[40.3014581, -79.5389289]"
478,JOHUNSTOWN-PA,"JOHUNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
479,MINIASBURG-OH,"MINIASBURG, OH","<[OK] Google - Geocode [Miamisburg, OH, USA]>","[39.6428362, -84.2866083]"
480,GENESCO,GENESCO,,
481,BRYANT-TX,"BRYANT, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
482,TORONTO,TORONTO,"<[OK] Google - Geocode [Toronto, ON, Canada]>","[43.653226, -79.3831843]"
483,JOUDSTON,JOUDSTON,,
484,OTTAWA,OTTAWA,"<[OK] Google - Geocode [Ottawa, ON, Canada]>","[45.4215296, -75.69719309999999]"
485,BRAYON-TX,"BRAYON, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
486,NEW-JERSEY-MA,"NEW JERSEY, MA","<[OK] Google - Geocode [New Jersey, USA]>","[40.0583238, -74.4056612]"
487,MONTECLAIR,MONTECLAIR,"<[OK] Google - Geocode [Montclair, NJ, USA]>","[40.8259007, -74.2090053]"
488,NAPOLEONVILLA,NAPOLEONVILLA,,
489,DAYTON-OH,"DAYTON, OH","<[OK] Google - Geocode [Dayton, OH, USA]>","[39.7589478, -84.1916069]"
490,FORESVILLE,FORESVILLE,"<[OK] Google - Geocode [Forestville, CA 95436, USA]>","[38.4735237, -122.8902721]"
491,JOHUNSTOWN,JOHUNSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
492,PENSACOLA,"PENSACOLA, FL","<[OK] Google - Geocode [Pensacola, FL, USA]>","[30.42130899999999, -87.2169149]"
493,NE WYORK CITY,NEW YORK CITY,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
494,SAN ANTONIO TX,"SAN ANTONIO, TX","<[OK] Google - Geocode [San Antonio, TX, USA]>","[29.4241219, -98.49362819999999]"
495,"BOSTON, MA.","BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
496,NEW OREANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
497,BRANT,BRANT,,
498,MONTE MAGGIA,MONTE MAGGIA,,
499,OLD-POINT,OLD-POINT,"<[OK] Google - Geocode [101 E Queen St, Hampton, VA 23669, USA]>","[37.025954, -76.3426949]"
500,PITTSTON PA.,PITTSTON PA.,"<[OK] Google - Geocode [Pittston, PA, USA]>","[41.3259134, -75.78936039999999]"
501,NEW ORLEAN,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
502,BOSTOPN,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
503,CHARLESTON-MA,"CHARLESTON, MA","<[OK] Google - Geocode [Charlestown, Boston, MA, USA]>","[42.3782065, -71.0602131]"
504,NORWICH,NORWICH,,
505,NEW-YOPRK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
506,OSURGA NY,"OSURGA, NY",,
507,JOHSTOWN-PA,"JOHSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
508,DELANGER,DELANGER,,
509,WATERBURG,WATERBURG,,
510,NEW JERSEY,NEW JERSEY,"<[OK] Google - Geocode [New Jersey, USA]>","[40.0583238, -74.4056612]"
511,NORRISTON-PA,"NORRISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
512,AUSTIN-TX,"AUSTIN, TX","<[OK] Google - Geocode [Austin, TX, USA]>","[30.267153, -97.7430608]"
513,WAVERLY NY,"WAVERLY, NY","<[OK] Google - Geocode [Waverly, NY 14892, USA]>","[42.0103519, -76.5271659]"
514,MC KRESP,MC KRESP,,
515,JOUNGSTON,JOUNGSTON,,
516,YOUNGSTON,YOUNGSTON,,
517,KINGSTON,KINGSTON,"<[OK] Google - Geocode [Kingston, ON, Canada]>","[44.2311717, -76.4859544]"
518,HESTER,HESTER,,
519,RENOLDSVILLE-PA,"RENOLDSVILLE, PA","<[OK] Google - Geocode [Reynoldsville, PA 15851, USA]>","[41.0970071, -78.8886436]"
520,ELEONOR PA,"ELEANOR, PA","<[OK] Google - Geocode [185 Walton Dr, Morrisville, PA 19067, USA]>","[40.2006537, -74.8265371]"
521,SAN FRANCISCO-CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
522,NEW-YOEK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
523,UTICA-NY,"UTICA, NY","<[OK] Google - Geocode [Utica, NY, USA]>","[43.100903, -75.232664]"
524,PINE-BLUFF,PINE BLUFF,"<[OK] Google - Geocode [Pine Bluff, AR, USA]>","[34.2284312, -92.00319549999999]"
525,ALLEGHENY-PA,"ALLEGHENY, PA","<[OK] Google - Geocode [Allegheny County, PA, USA]>","[40.4450813, -80.0087746]"
526,VANNATON CONN,VANNATON CONN,,
527,MIDDELTOWN CT,"MIDDELTOWN, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
528,PITTSTON PA,PITTSTON PA,"<[OK] Google - Geocode [Pittston, PA, USA]>","[41.3259134, -75.78936039999999]"
529,CINCINATI OH,"CINCINNATI, OH","<[OK] Google - Geocode [Cincinnati, OH, USA]>","[39.1031182, -84.5120196]"
530,REYNOLDSVILLE PA,"REYNOLDSVILLE, PA","<[OK] Google - Geocode [Reynoldsville, PA 15851, USA]>","[41.0970071, -78.8886436]"
531,IOLONSTOWN PA,"IOLONSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
532,LA,LA,"<[OK] Google - Geocode [Los Angeles, CA, USA]>","[34.0522342, -118.2436849]"
533,BELLEROSE-PA,"BELLEROSE, PA",,
534,NORRISTOWN NJ,"NORRISTOWN, NJ","<[OK] Google - Geocode [228 W Main St, Norristown, PA 19401, USA]>","[40.1158593, -75.3484641]"
535,ROCKFORD IL,"ROCKFORD, IL","<[OK] Google - Geocode [Rockford, IL, USA]>","[42.2711311, -89.0939952]"
536,ALBAMA,ALABAMA,"<[OK] Google - Geocode [Alabama, USA]>","[32.3182314, -86.902298]"
537,DONALSO LA,"DONALSO, LA","<[OK] Google - Geocode [Donaldsonville, LA 70346, USA]>","[30.1010323, -90.9928773]"
538,VT,VT,,
539,OAKLAND CO,"OAKLAND, CO",,
540,HOBOKEN-NY,"HOBOKEN, NY","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
541,DON BOIS PA,"DON BOIS, PA","<[OK] Google - Geocode [700 South Brady Street, Du Bois, PA 15801, DuBois, PA 15801, United States]>","[41.1094024, -78.7714184]"
542,APOLLO-PA,"APOLLO, PA","<[OK] Google - Geocode [Apollo, PA 15613, USA]>","[40.5814546, -79.5664333]"
543,CALUMET MI,"CALUMET, MI","<[OK] Google - Geocode [Calumet, Calumet Twp, MI 49913, USA]>","[47.24659219999999, -88.45400599999999]"
544,MEKERSFORT,MEKERSFORT,,
545,IOENELLIS,IOENELLIS,,
546,NYW-YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
547,AMSTERDAM-NJ,"AMSTERDAM, NJ","<[OK] Google - Geocode [Amsterdam, Milford, NJ 08848, USA]>","[40.5876009, -75.1585075]"
548,NORFOLK,NORFOLK,"<[OK] Google - Geocode [Norfolk, VA, USA]>","[36.8507689, -76.28587259999999]"
549,ARLINGTON IL,"ARLINGTON, IL","<[OK] Google - Geocode [Arlington, IL 61312, USA]>","[41.4736452, -89.24925309999999]"
550,SCOTTSDALE PA,"SCOTTSDALE, PA","<[OK] Google - Geocode [Scottdale, PA 15683, USA]>","[40.1003506, -79.5869834]"
551,CINCINNATI-OH,"CINCINNATI, OH","<[OK] Google - Geocode [Cincinnati, OH, USA]>","[39.1031182, -84.5120196]"
552,MADISON-PA,"MADISON, PA","<[OK] Google - Geocode [Madison, PA, USA]>","[40.2472924, -79.67726449999999]"
553,NEW LONDON CT,"NEW LONDON, CT","<[OK] Google - Geocode [New London, CT, USA]>","[41.3556539, -72.0995209]"
554,SILVER BROOK,SILVER BROOK,,
555,BESSEMER AL,"BESSEMER, AL","<[OK] Google - Geocode [Bessemer, AL, USA]>","[33.4017766, -86.954437]"
556,HOUSTON GA,"HOUSTON, GA","<[OK] Google - Geocode [Houston County, GA, USA]>","[32.4219655, -83.63484299999999]"
557,MONTON NJ,"MONTON, NJ",,
558,NORISTON-PA,"NORISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
559,NORISTON,NORISTON,"<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
560,VALSTON PA,"VALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","[40.9650644, -78.9947562]"
561,HILLSVILLE PA.,"HILLSVILLE, PA","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","[41.0078378, -80.4967353]"
562,LOWELLIVILLE OH,"LOWELLIVILLE, OH","<[OK] Google - Geocode [Lowellville, OH 44436, USA]>","[41.0353371, -80.53645929999999]"
563,NEW-YORK-DIED,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
564,LEADVILLE CO,"LEADVILLE, CO","<[OK] Google - Geocode [Leadville, CO 80461, USA]>","[39.2508229, -106.2925238]"
565,GREENLAND,GREENLAND,,
566,INDIA-TER,INDIA-TER,,
567,GLAVERTON-PA,"GLAVERTON, PA",,
568,OTTAURI CT,OTTAURI CT,,
569,KABSAS-CITY,"KANSAS CITY, MO","<[OK] Google - Geocode [Kansas City, MO, USA]>","[39.0997265, -94.5785667]"
570,FRANKLIN,FRANKLIN,,
571,JOUNSTON PA,"JOUNSTON, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
572,OAKLAND,OAKLAND,"<[OK] Google - Geocode [Oakland, CA, USA]>","[37.8043637, -122.2711137]"
573,WILSTON-MA,"WILSTON, MA",,
574,PITTSBIRG,PITTSBIRG,"<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
575,ELMIRA NY,"ELMIRA, NY","<[OK] Google - Geocode [Elmira, NY, USA]>","[42.0897965, -76.8077338]"
576,NEW YOKR,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
577,MOUNT MORRIS NY,"MOUNT MORRIS, NY","<[OK] Google - Geocode [Mt Morris, NY 14510, USA]>","[42.72561839999999, -77.8741694]"
578,SPRINGFIELD,SPRINGFIELD,,
579,BATTENEY-PA,"BATTENEY, PA",,
580,AVON NJ,"AVON, NJ","<[OK] Google - Geocode [Avon-By-The-Sea, NJ, USA]>","[40.1923357, -74.01597029999999]"
581,SARACUSE,SARACUSE,"<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
582,UTTICA NY,"UTTICA, NY","<[OK] Google - Geocode [Utica, NY, USA]>","[43.100903, -75.232664]"
583,S SAGINARO MISH,"S SAGINARO, MI",,
584,WESTERLY-R I,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
585,WESTERLY-R.I.,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
586,PERTAGA PA,"PERTAGA, PA",,
587,BUFFALO TN,"BUFFALO, TN","<[OK] Google - Geocode [Buffalo, TN 37078, USA]>","[35.8856194, -87.806692]"
588,MOUNTE--,MOUNTE--,,
589,JOHUSTON-PA,"JOHUSTON, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
590,MOUNT--,MOUNT--,,
591,BATAVIA NY,"BATAVIA, NY","<[OK] Google - Geocode [Batavia, NY 14020, USA]>","[42.9981156, -78.1875167]"
592,WILLIAMS OH,"WILLIAMS, OH","<[OK] Google - Geocode [Williams County, OH, USA]>","[41.55076020000001, -84.5222189]"
593,S.LUCIA,S.LUCIA,,
594,ALTOMONTE,ALTOMONTE,,
595,RELA---,RELA---,,
596,ROMA,ROMA,,
597,MAIFIT PA,"MAIFIT, PA",,
598,MEEKFORT,MEEKFORT,,
599,ELENOR-PA,"ELENOR, PA",,
600,JERSEY-CITY,JERSEY CITY,"<[OK] Google - Geocode [Jersey City, NJ, USA]>","[40.7177545, -74.0431435]"
601,MILIWAKEE WI,"MILIWAKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
602,NIAGRA FALLS,NIAGRA FALLS,"<[OK] Google - Geocode [Niagara Falls, NY 14303, United States]>","[43.0828162, -79.07416289999999]"
603,NEWARK-NJ,"NEWARK, NJ","<[OK] Google - Geocode [Newark, NJ, USA]>","[40.735657, -74.1723667]"
604,S.JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
605,IRVINGTON,IRVINGTON,"<[OK] Google - Geocode [Irvington, NJ 07111, USA]>","[40.7263249, -74.22864349999999]"
606,NORD-STO,NORD-STO,,
607,WALLSTON,WALLSTON,,
608,CARBONDALE-PA,"CARBONDALE, PA","<[OK] Google - Geocode [Carbondale, PA 18407, USA]>","[41.5736935, -75.5018508]"
609,GENESCO NY,"GENESCO, NY","<[OK] Google - Geocode [Geneseo, NY 14454, USA]>","[42.795896, -77.816947]"
610,DELANEY-PA,"DELANEY, PA",,
611,NWE YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
612,FREDONIA NY,"FREDONIA, NY","<[OK] Google - Geocode [Fredonia, NY 14063, USA]>","[42.4400576, -79.3317105]"
613,SANJOSE CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
614,MORRIS N,MORRIS N,,
615,ROME NY,"ROME, NY","<[OK] Google - Geocode [Rome, NY, USA]>","[43.2128473, -75.4557303]"
616,MC KESPORT,MC KESPORT,"<[OK] Google - Geocode [McKeesport, PA, USA]>","[40.3470671, -79.8641232]"
617,VILEGRES PA,"VILEGRES, PA",,
618,BANOS-CA,"BANOS, CA","<[OK] Google - Geocode [Los Banos, CA, USA]>","[37.0582786, -120.8499151]"
619,LOS ANGELES CA,"LOS ANGELES, CA","<[OK] Google - Geocode [Los Angeles, CA, USA]>","[34.0522342, -118.2436849]"
620,ELEONORA-PA,"ELEANORA, PA",,
621,SCRANTON-PA,"SCRANTON, PA","<[OK] Google - Geocode [Scranton, PA, USA]>","[41.408969, -75.66241219999999]"
622,ROME,ROME,,
623,JOHUNSTON-PA,"JOHUNSTON, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
624,JOHUSTOWN-PA,"JOHUSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
625,PIZZE,PIZZE,,
626,MONROE-PA,"MONROE, PA","<[OK] Google - Geocode [Monroe, PA, USA]>","[41.7130314, -76.4740454]"
627,MANROE,MANROE,"<[OK] Google - Geocode [Monroe, PA, USA]>","[41.7130314, -76.4740454]"
628,MONROE,MONROE,"<[OK] Google - Geocode [Monroe, PA, USA]>","[41.7130314, -76.4740454]"
629,NEWORLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
630,S.F. MESSICO,S.F. MESSICO,,
631,STANFORT-CT,"STANFORT, CT","<[OK] Google - Geocode [Stamford, CT, USA]>","[41.0534302, -73.5387341]"
632,SANDUSCY OH,"SANDUSKY, OH","<[OK] Google - Geocode [Sandusky, OH 44870, USA]>","[41.4561754, -82.71168209999999]"
633,ERIE PA,"ERIE, PA","<[OK] Google - Geocode [Erie, PA, USA]>","[42.12922409999999, -80.085059]"
634,,,,
635,RELARES PA,"RELARES, PA",,
636,S. SAINT MARIE,S. SAINT MARIE,"<[OK] Google - Geocode [Sault Ste. Marie, MI 49783, USA]>","[46.49771150000001, -84.3475876]"
637,BRIGHTON-MA,"BRIGHTON, MA","<[OK] Google - Geocode [Brighton, Boston, MA, USA]>","[42.3463503, -71.1626756]"
638,BRIGHTON,BRIGHTON,"<[OK] Google - Geocode [Brighton, Boston, MA, USA]>","[42.3463503, -71.1626756]"
639,"SPRINGFIELD,MA","SPRINGFIELD, MA","<[OK] Google - Geocode [Springfield, MA, USA]>","[42.1014831, -72.589811]"
640,NATCHEZ MISS.,"NATCHEZ, MS","<[OK] Google - Geocode [Natchez, MS 39120, USA]>","[31.5604442, -91.40317100000001]"
641,APPALACHIA VA,"APPALACHIA, VA","<[OK] Google - Geocode [Appalachia, VA 24216, USA]>","[36.9067631, -82.78182749999999]"
642,BIRMINGHAM AL,"BIRMINGHAM, AL","<[OK] Google - Geocode [Birmingham, AL, USA]>","[33.5185892, -86.8103567]"
643,TROY-NY,"TROY, NY","<[OK] Google - Geocode [Troy, NY, USA]>","[42.7284117, -73.69178509999999]"
644,PROVIDENCE NY,"PROVIDENCE, NY","<[OK] Google - Geocode [Providence, NY, USA]>","[43.1060531, -74.05351259999999]"
645,NORRISTOWN PA.,"NORRISTOWN, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
646,,,,
647,JERSEY CITY NJ,"JERSEY CITY, NJ","<[OK] Google - Geocode [Jersey City, NJ, USA]>","[40.7177545, -74.0431435]"
648,BETHLEHEM PA,"BETHLEHEM, PA","<[OK] Google - Geocode [Bethlehem, PA, USA]>","[40.6259316, -75.37045789999999]"
649,MAMARONECK NY,"MAMARONECK, NY","<[OK] Google - Geocode [Mamaroneck, NY, USA]>","[40.94870969999999, -73.7326309]"
650,TORONTO CANADA,"TORONTO, CANADA","<[OK] Google - Geocode [Toronto, ON, Canada]>","[43.653226, -79.3831843]"
651,HILLSVILL OH,"HILLSVILL, OH","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","[41.0078378, -80.4967353]"
652,ST.LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
653,LOUISVILLE-KY,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","[38.2526647, -85.7584557]"
654,ALEGRES-,ALEGRES-,,
655,CASALECCHIO,CASALECCHIO,,
656,PUEBLO-CO,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","[38.2544472, -104.6091409]"
657,ELISABET,ELISABET,,
658,BATAVIA,BATAVIA,,
659,NEW-MEXICO,NEW MEXICO,"<[OK] Google - Geocode [New Mexico, USA]>","[34.5199402, -105.8700901]"
660,HATTFORD-CT,"HATTFORD, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","[41.7658043, -72.6733723]"
661,BIRMINGHAM,BIRMINGHAM,"<[OK] Google - Geocode [Birmingham, AL, USA]>","[33.5185892, -86.8103567]"
662,S.ANTONIO-TX,"SAN ANTONIO, TX","<[OK] Google - Geocode [San Antonio, TX, USA]>","[29.4241219, -98.49362819999999]"
663,SALIMANCA,SALIMANCA,,
664,HOUSTON TX,"HOUSTON, TX","<[OK] Google - Geocode [Houston, TX, USA]>","[29.7604267, -95.3698028]"
665,ELIZABETH-NY,"ELIZABETH, NY","<[OK] Google - Geocode [Elizabethtown, NY 12932, USA]>","[44.2163337, -73.59044779999999]"
666,OXFORD WY,"OXFORD, WY","<[OK] Google - Geocode [Oxford Dr, Cheyenne, WY 82001, USA]>","[41.1481684, -104.7990054]"
667,MILTON,MILTON,,
668,WESTER PA,"WESTER, PA","<[OK] Google - Geocode [West Chester, PA, USA]>","[39.9606643, -75.6054882]"
669,PUNXATAWNEY PA.,"PUNXATAWNEY, PA","<[OK] Google - Geocode [Punxsutawney, PA 15767, USA]>","[40.9436753, -78.9708668]"
670,LAURENCE,LAURENCE,,
671,BRADFORD PA,"BRADFORD, PA","<[OK] Google - Geocode [Bradford, PA 16701, USA]>","[41.9564953, -78.649163]"
672,GREIGSVILLE,GREIGSVILLE,"<[OK] Google - Geocode [Greigsville, NY 14533, USA]>","[42.83056, -77.89721999999999]"
673,KENNATECK-IN,"KENNATECK, IN",,
674,PITTSFIELD MA,"PITTSFIELD, MA","<[OK] Google - Geocode [Pittsfield, MA 01201, USA]>","[42.4500845, -73.2453824]"
675,SOUTHAMPTON,SOUTHAMPTON,,
676,S. JOSE CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
677,GALVESTON-TX,"GALVESTON, TX","<[OK] Google - Geocode [Galveston, TX, USA]>","[29.3013479, -94.7976958]"
678,SAN JOSE CA.,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
679,NEW-YOTK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
680,BROOKLNN,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
681,LAURENCE-MA,"LAURENCE, MA","<[OK] Google - Geocode [Lawrence, MA, USA]>","[42.7070354, -71.1631137]"
682,LAWRENCE,LAWRENCE,"<[OK] Google - Geocode [Lawrence, MA, USA]>","[42.7070354, -71.1631137]"
683,WILLIAMSPORT,WILLIAMSPORT,"<[OK] Google - Geocode [Williamsport, PA, USA]>","[41.2411897, -77.00107860000001]"
684,ROCHESTER-MA,"ROCHESTER, MA","<[OK] Google - Geocode [Rochester, MA, USA]>","[41.7549658, -70.8452677]"
685,DALLAS-TX,"DALLAS, TX","<[OK] Google - Geocode [Dallas, TX, USA]>","[32.7766642, -96.79698789999999]"
686,PALMIERI-N,PALMIERI-N,,
687,JULIETTE FL,"JULIETTE, FL",,
688,COWANSVILLE,COWANSVILLE,"<[OK] Google - Geocode [Cowansville, QC, Canada]>","[45.2062926, -72.7471405]"
689,CLEARFIELD-PA,"CLEARFIELD, PA","<[OK] Google - Geocode [Clearfield, PA 16830, USA]>","[41.0272796, -78.4391876]"
690,LA SALLE IL,"LA SALLE, IL","<[OK] Google - Geocode [Lasalle, IL, USA]>","[41.3621503, -89.0418249]"
691,BETHLEM-PA,"BETHLEM, PA","<[OK] Google - Geocode [Bethlehem, PA, USA]>","[40.6259316, -75.37045789999999]"
692,DELANGES-PA,"DELANGES, PA",,
693,WESTFIELD,WESTFIELD,,
694,CAMDEM,CAMDEM,,
695,TAMPA  FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","[27.950575, -82.4571776]"
696,WAPP. FALLS NY,"WAPP. FALLS, NY","<[OK] Google - Geocode [Wappingers Falls, NY 12590, USA]>","[41.5964825, -73.91096999999999]"
697,BENIGIS,BENIGIS,,
698,STOCKTON KS,"STOCKTON, KS","<[OK] Google - Geocode [Stockton, KS 67669, USA]>","[39.4380656, -99.2650967]"
699,NEW HAVEN CONN.,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
700,DELAWARE,DELAWARE,"<[OK] Google - Geocode [Delaware, USA]>","[38.9108325, -75.52766989999999]"
701,JOUSTON-PA,"JOUSTON, PA","<[OK] Google - Geocode [Houston, PA, USA]>","[40.2464593, -80.2114472]"
702,ATTLANTIC CITY,"ATLANTIC CITY, NJ","<[OK] Google - Geocode [Atlantic City, NJ, USA]>","[39.3642834, -74.4229266]"
703,VIRGINIA,VIRGINIA,"<[OK] Google - Geocode [Virginia, USA]>","[37.4315734, -78.6568942]"
704,MONT VERNON,MONT VERNON,"<[OK] Google - Geocode [Mont Vernon, NH 03057, USA]>","[42.8945294, -71.6742393]"
705,BAIONNE,BAIONNE,"<[OK] Google - Geocode [Bayonne, NJ, USA]>","[40.6687141, -74.1143091]"
706,HISVILLE PA,"HISVILLE, PA","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","[41.0078378, -80.4967353]"
707,CHARLEROI PA,"CHARLEROI, PA","<[OK] Google - Geocode [Charleroi, PA 15022, USA]>","[40.1378499, -79.89810349999999]"
708,NATICK MA,"NATICK, MA","<[OK] Google - Geocode [Natick, MA, USA]>","[42.2775281, -71.3468091]"
709,NEW PORT RI,"NEWPORT, RI","<[OK] Google - Geocode [Newport, RI, USA]>","[41.4901024, -71.3128285]"
710,ORWEGO,ORWEGO,,
711,HARRISBURG PA.,"HARRISBURG, PA","<[OK] Google - Geocode [Harrisburg, PA, USA]>","[40.2731911, -76.8867008]"
712,MAMARONESH N,MAMARONESH N,"<[OK] Google - Geocode [Mamaroneck, NY, USA]>","[40.94870969999999, -73.7326309]"
713,S.FRANCESCO,"SAN FRANCESCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
714,SYRACUSE KS,"SYRACUSE, KS","<[OK] Google - Geocode [Syracuse, KS 67878, USA]>","[37.9805686, -101.7526718]"
715,NEW  YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
716,AIZAO,AIZAO,,
717,SIRACUSE,SIRACUSE,,
718,WATERTOWN MA,"WATERTOWN, MA","<[OK] Google - Geocode [Watertown, MA, USA]>","[42.3709299, -71.1828321]"
719,SCRANTON,"SCRANTON, PA","<[OK] Google - Geocode [Scranton, PA, USA]>","[41.408969, -75.66241219999999]"
720,NUION VILLE,NUION VILLE,,
721,CLINTON IN,"CLINTON, IN","<[OK] Google - Geocode [Clinton, IN 47842, USA]>","[39.6569817, -87.3980741]"
722,BIG SOLDER PA,"BIG SOLDER, PA",,
723,BRISTOL,"BRISTOL, CT","<[OK] Google - Geocode [Bristol, CT 06010, USA]>","[41.67176480000001, -72.9492703]"
724,GLOCESTER,GLOCESTER,"<[OK] Google - Geocode [Glocester, RI, USA]>","[41.9043113, -71.69106599999999]"
725,CARNEY,CARNEY,"<[OK] Google - Geocode [Carney, OK 74832, USA]>","[35.8083932, -97.012807]"
726,ORANGE NY,"ORANGE, NY","<[OK] Google - Geocode [Orange, NY, USA]>","[42.3401767, -77.03341790000002]"
727,BETHLEHEM RI,"BETHLEHEM, RI",,
728,MA-- CT,MA-- CT,"<[OK] Google - Geocode [Connecticut, USA]>","[41.6032207, -73.087749]"
729,BRYAN-BRAZOS-TEXAS,BRYAN-BRAZOS-TEXAS,"<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
